column 1,column 2,column 3
800,10,2
1300,34,9
1800,80,23
2300,155,46
2800,266,80
3300,425,130
3800,632,195
4300,900,280
4800,1228,381
5300,1640,510
5800,2123,660
6300,2691,838
6800,3358,1048
7300,4128,1292
7800,5010,1566
8300,5996,1874
8800,7116,2228
9300,8361,2620
9800,9748,3057
10000,11193,3505
11000,12926,4049
12000,15026,4721
13000,17612,5494
14000,20480,6433
15000,23788,7463
16000,27495,8631
17000,31709,9957
18000,36392,11430
19000,41603,13188
20000,47439,15080
21000,53843,17083
22000,60919,19291
23000,68660,21733
24000,77085,24369
25000,86208,27255
26000,96069,30354
27000,106752,33738
28000,118182,37352
29000,130392,41279
30000,143497,45419
31000,157437,49839
32000,172351,54523
33000,188014,59436
34000,204590,64657
35000,222164,70225
36000,240745,76099
37000,260375,82297
38000,281080,88838
39000,302864,95702
40000,325794,102939
60000,377357,119219
80000,469449,148232

