column 1,column 2,column 3,column 4
500,3.67364,1.17614,1.09441
1000,14.4327,4.4514,4.13057
1500,32.8206,10.3591,9.53802
2000,57.4737,17.5403,16.2246
2500,90.0263,27.4915,25.4285
3000,128.979,39.7855,36.863
3500,176.586,55.4335,50.5229
4000,232.065,72.5271,66.9368
4500,290.636,89.6656,82.6498
5000,358.742,110.227,101.638
5500,437.965,136.784,125.667
6000,521.315,163.017,149.837
6500,610.496,190.573,175.059
7000,704.569,217.851,200.642
7500,808.157,250.663,230.055
8000,923.3,287.422,263.595
8500,1038.28,322.033,295.751
9000,1164.58,362.015,332.379
9500,1293.89,400.106,367.769
10000,1439.22,447.891,411.464
11000,1730.87,532.635,489.091
12000,2068.22,639.299,586.839
13000,2425.42,751.189,690.407
14000,2806.13,866.827,796.24
15000,3238.52,1003.93,921.127
16000,3691.64,1153.27,1056.86
17000,4161.49,1294.73,1187.47
18000,4651.36,1444.63,1324.51
19000,5207.65,1626.75,1487.87
20000,5762.3,1799.52,1649.03
21000,6338.77,1965.75,1801.12
22000,6957.6,2160.61,1976.79
23000,7596.72,2361.53,2164.96
24000,8261.59,2554.34,2339.97
25000,9031.38,2826.05,2585.02
26000,9743.4,3031.62,2778.53
27000,10498,3258.41,2981.34
28000,11298.2,3519.38,3224.22
29000,12056,3732.55,3421.37
30000,12973.5,4049.8,3704.39
31000,13801.4,4277.04,3917.45
32000,14710,4550.1,4166.14
33000,15627.2,4849.37,4432.4
34000,16606,5142.24,4708.18
35000,17616.9,5477.11,5015.11
36000,18655.2,5805.16,5341.76
37000,19638.3,6085.75,5573.8
38000,20743.5,6431.63,5889.23
39000,21848.5,6789.86,6212.61
40000,22955.7,7110.15,6504.9
45000,29121.8,9061.02,8293.99
50000,35905.1,11133.9,10192.1
55000,43460.9,13479.7,12333.9
60000,51749.6,16056.8,14683.1
65000,60737.6,18884.6,17269.4
70000,70494.9,21985.3,20104.4
75000,80634,24905.3,22790.9
80000,91894.3,28490.4,26050.2
85000,103866,32291.4,29538.8
90000,116431,36123.7,33002.4
95000,129340,40160.8,36737.6
