column 1,column 2,column 3,column 4
500,3.64247,1.15638,1.07693
1000,14.5247,4.57305,4.24613
1500,32.7286,10.1531,9.37646
2000,57.7325,17.8763,16.5097
2500,91.1774,28.5969,26.2884
3000,130.574,40.6613,37.5233
3500,175.425,53.4765,49.1958
4000,231.925,72.1295,66.3658
4500,291.123,89.7747,82.6019
5000,360.617,111.069,102.163
5500,437.188,136.376,125.365
6000,530.902,159.972,147.227
6500,605.103,186.31,171.547
7000,704.358,219.477,201.973
7500,812.248,251.803,231.119
8000,922.287,286.515,263.278
8500,1033.68,318.533,292.405
9000,1163.38,360.314,331.053
9500,1297.42,401.339,368.642
10000,1441.46,449.023,425.823
11000,1771.44,542.314,497.409
12000,2073.37,645.236,592.629
13000,2429.16,753.397,691.071
14000,2826.79,881.277,809.682
15000,3273.44,1034.7,930.703
16000,3666.06,1125.5,1032.41
17000,4154.24,1293.37,1201.69
18000,4660.53,1439.63,1320.33
19000,5189.89,1617.28,1480.76
20000,5746.14,1802.57,1651.85
21000,6337.27,1957.14,1793.08
22000,6934.86,2169.73,1996.19
23000,7580.49,2340.46,2140.85
24000,8296.78,2560.48,2350.05
25000,9033.65,2787.88,2553.66
26000,9711.28,3019.12,2765.22
27000,10466.3,3252.53,2979.26
28000,11271.3,3507.45,3209.6
29000,12073.6,3746.18,3471.45
30000,12940.9,4025.97,3683.64
31000,13767.3,4267.41,3910.98
32000,14662.1,4533.96,4157.35
33000,15648.3,4868.85,4461.14
34000,16627.4,5170.94,4727.75
35000,17613.9,5458.63,5002.65
36000,18594.6,5761.43,5273.12
37000,19637.4,6091.24,5582.95
38000,20674.8,6407.45,5871.21
39000,21868,6799.96,6204.37
40000,22975.6,7124.97,6525.28
45000,28993,8982.83,8228.73
50000,35929.1,11203,10242.5
55000,43327.4,13436.5,12317
60000,51657.1,16052.1,14690.9
65000,60607.6,18751.3,17192.2
70000,70404.9,21853.8,20036.2
75000,80602.1,24963.5,22848.3
80000,91939.8,28633.8,26193.2
85000,103776,32272.4,29533.3
90000,116151,36052.9,33021.2
95000,129538,40330.4,36779
