column 1,column 2,column 3,column 4
500,4.36473,2.32378,2.17476
1000,17.4369,9.27306,8.70133
1500,39.3191,20.8646,19.566
2000,69.7871,37.0557,34.7457
2500,109.049,57.8709,54.2543
3000,156.865,83.4119,78.0904
3500,213.7,113.516,106.35
4000,278.807,148.057,138.798
4500,353.173,187.38,175.675
5000,435.711,231.523,216.935
5500,527.904,280.219,262.78
6000,628.142,333.515,312.561
6500,736.754,391.099,366.753
7000,855.37,453.722,425.577
7500,981.293,520.616,488.558
8000,1116.96,591.957,555.821
8500,1260.55,668.748,627.186
9000,1414.2,749.33,703.178
9500,1575,835.585,783.597
10000,1743.88,925.508,868.154
11000,2111.37,1120.34,1051.12
12000,2512.43,1331.98,1250.02
13000,2951.34,1563.68,1465.34
14000,3421.85,1812.4,1700.61
15000,3927.84,2080.28,1953.1
16000,4472.31,2366.71,2222.25
17000,5036.97,2671.61,2508.47
18000,5661.1,2994.86,2809.92
19000,6305.55,3336.61,3132.69
20000,6987.92,3697.04,3470.69
21000,7702.12,4075.88,3824.37
22000,8447.38,4472.44,4198.22
23000,9240.97,4889.17,4589.61
24000,10063,5321.68,4995.32
25000,10913.8,5774.97,5423.87
26000,11802.8,6244.39,5864
27000,12733.1,6732.63,6320.96
28000,13695.5,7241.83,6800.14
29000,14722.7,7767.74,7295.28
30000,15713,8311.98,7804.25
31000,16788.7,8871.34,8335.16
32000,17881.7,9452.47,8881.59
33000,19030,10050.7,9446.67
34000,20191.7,10671.8,10024.7
35000,21394.5,11299,10624.2
36000,22633,11956.6,11242.2
37000,23905.7,12626.1,11876.1
38000,25221.3,13316.1,12525.4
39000,26565.4,14020.9,13192.3
40000,27944.1,14751.4,13875.5
45000,35367.4,18656,17571.5
50000,43681.9,23007.1,21680.6
55000,52978.4,27813.9,26232.6
60000,62893.4,33063.8,31230.9
65000,73823.6,38772,36636.6
70000,85573.6,44917.8,42557
75000,98272.8,51511.4,48771.8
80000,111778,58556.5,55491.4
85000,126308,66058.5,62643.5
90000,141547,73996.2,70231.2
95000,157642,82434.7,78293.2
