column 1,column 2,column 3
1300,4,2
1800,9,6
2300,19,13
2800,33,24
3300,53,39
3800,79,59
4300,113,85
4800,158,119
5300,210,159
5800,273,207
6300,347,264
6800,433,331
7300,533,407
7800,646,494
8300,772,592
8800,915,703
9300,1078,829
9800,1257,968
10000,1445,1113
11000,1672,1288
12000,1937,1494
13000,2251,1737
14000,2617,2022
15000,3040,2348
16000,3524,2717
17000,4062,3133
18000,4665,3598
19000,5340,4120
20000,6086,4699
21000,6910,5336
22000,7808,6028
23000,8799,6794
24000,9880,7626
25000,11045,8529
26000,12317,9511
27000,13670,10563
28000,15136,11699
29000,16693,12905
30000,18366,14199
31000,20156,15583
32000,22069,17063
33000,24107,18637
34000,26274,20309
35000,28573,22087
36000,30986,23953
37000,33548,25924
38000,36237,28001
39000,39066,30190
40000,42066,32508
60000,48772,37700
80000,60729,46941
