column 1,column 2,column 3,column 4
500,0.463767,0.331099,0.253931
1000,1.85849,1.30463,0.953764
1500,4.1663,2.90919,2.1664
2000,7.64113,5.27592,3.84318
2500,11.7299,8.21628,5.93964
3000,16.7344,11.533,8.43296
3500,23.0629,15.9536,11.5653
4000,29.4948,20.5027,14.8565
4500,37.5963,26.269,18.9776
5000,46.785,32.5884,23.6225
5500,56.6012,39.6198,28.3658
6000,66.9376,46.5907,33.7086
6500,79.7463,55.3867,40.0265
7000,92.3356,64.3994,46.1194
7500,105.019,72.5609,52.603
8000,120.345,83.5963,60.525
8500,134.838,93.1632,67.8571
9000,151.902,105.586,76.1954
9500,168.541,116.885,84.5865
10000,187.422,129.699,93.971
11000,224.644,155.642,112.561
12000,267.142,186.297,134.226
13000,314.384,217.668,157.218
14000,359.157,251.01,181.472
15000,416.932,289.701,209.664
16000,473.308,328.53,237.061
17000,537.414,388.597,269.288
18000,601.911,417.786,302.44
19000,671.862,470.152,335.507
20000,737.456,513.774,374.733
21000,819.167,569.913,411.906
22000,904.854,629.059,453.701
23000,988.12,698.843,493.515
24000,1064.45,744.142,534.4
25000,1154.89,804.831,578.166
26000,1261.24,886.832,629.614
27000,1352.41,941.155,677.788
28000,1445.78,1006.88,732.639
29000,1563.25,1084.91,785.881
30000,1660.63,1156.56,834.891
31000,1790.99,1242.69,994.599
32000,1899.68,1320.54,954.781
33000,2027.6,1404.37,1012.38
34000,2148.71,1492.51,1073.67
35000,2290.86,1594.57,1145.08
36000,2400.3,1680.57,1202.99
37000,2546.76,1789.1,1274.63
38000,2688.94,1860.13,1342.52
39000,2814.93,1956.55,1412.23
40000,2977.55,2064.72,1487.69
45000,3755.85,2779.98,1882.61
50000,4640.19,3228.9,2333.94
55000,5647.75,3911.03,2816.52
60000,6672.1,4644.86,3338.71
65000,7830.29,5723.81,3932.36
70000,9089.02,6319.25,4548.35
75000,10431.5,7432.57,5277.67
80000,11917.3,8817.01,6004.43
85000,13402.9,9407.67,6745.7
90000,15085.4,10683.6,7659.82
95000,16816.4,11880.8,8476.12
