column 1,column 2,column 3,column 4
500,0.933616,0.47175,0.319695
1000,3.72002,1.86951,1.25369
1500,8.35997,4.2123,2.81491
2000,14.8679,7.45144,4.98664
2500,23.215,11.6607,7.78787
3000,33.438,16.7542,11.2015
3500,45.4731,22.7911,15.2287
4000,59.3918,29.7651,19.8774
4500,75.2211,37.6419,25.1563
5000,92.7519,46.4816,31.0819
5500,112.275,56.2371,37.5526
6000,133.641,66.9376,44.7037
6500,156.72,78.6127,52.4019
7000,181.836,90.9998,60.7565
7500,208.653,104.482,69.7407
8000,237.39,118.843,79.3532
8500,267.993,134.226,90.6657
9000,300.557,150.479,100.482
9500,334.888,168.618,111.836
10000,370.99,185.698,123.924
11000,449.18,224.639,149.912
12000,534.232,267.3,178.405
13000,626.85,313.764,209.423
14000,726.922,363.747,242.754
15000,834.707,417.653,278.659
16000,949.611,475.214,317.021
17000,1072.1,536.499,357.88
18000,1201.54,601.254,401.355
19000,1339.01,669.803,446.903
20000,1483.71,742.442,495.071
21000,1635.81,818.308,545.984
22000,1796.44,898.147,599.16
23000,1962.04,981.948,654.791
24000,2136.46,1068.66,712.93
25000,2317.86,1159.53,773.786
26000,2507.83,1254.36,836.793
27000,2704.09,1352.63,902.03
28000,2908.29,1454.57,970.055
29000,3119.1,1560.7,1040.91
30000,3338.62,1670.16,1113.98
31000,3564.04,1783.4,1189.51
32000,3798.46,1900.15,1267.14
33000,4038.99,2020.93,1347.36
34000,4288.64,2145.32,1430.34
35000,4543.59,2272.69,1515.52
36000,4807.11,2405.68,1603.49
37000,5079.06,2539.93,1694.08
38000,5355.82,2679.73,1786.9
39000,5641.15,2822.19,1881.96
40000,5935.29,2968.3,1979.76
45000,7514.2,3756.44,2507.12
50000,9341.17,4638.02,3093.03
55000,11219.2,5611.88,3742.75
60000,13351.5,6677.23,4453.52
65000,15672,7837.2,5226.16
70000,18172.5,9088.87,6060.34
75000,20868.3,10435.5,6958.8
80000,23739.7,11877.2,7916.6
85000,26801.3,13411.5,8949.09
90000,30046.2,15025.9,10018.4
95000,33470.5,16738.5,11162.3
