column 1,column 2,column 3,column 4
500,1.77509,1.06538,0
1000,6.69096,3.76802,0
1500,15.0171,8.47303,0
2000,26.6609,15.07,0
2500,41.6718,23.2945,0
3000,59.7551,33.4642,0
3500,81.3741,46.1406,0
4000,106.515,59.2759,0
4500,134.775,75.7921,0
5000,166.37,93.5053,0
5500,202.986,115.086,0
6000,241.905,136.377,0
6500,284.799,161.27,0
7000,336.369,184.16,0
7500,380.529,217.143,0
8000,432.329,258.706,0
8500,548.938,272.158,0
9000,565.734,310.166,0
9500,608.344,343.957,0
10000,695.782,380.901,0
11000,807.823,449.97,0
12000,977.58,538.514,0
13000,1138.65,633.289,0
14000,1317.54,727.637,0
15000,1506.22,948.514,0
16000,1752.24,956.669,0
17000,1939.77,1084.22,0
18000,2186.49,1207.62,0
19000,2448.31,1345.89,0
20000,2681.38,1493.13,0
21000,2966.39,2092.2,0
22000,3755.81,1834,0
23000,3809.19,2006.84,0
24000,3869.55,2171.38,0
25000,4287.43,2334.68,0
26000,4590.54,2559.39,0
27000,5050.41,2926.82,0
28000,6484.65,2985.52,0
29000,5919.34,3122.97,0
30000,6108,3512.1,0
31000,7055.19,3720.43,0
32000,7561.23,3959.98,0
33000,7617.17,4301.67,0
34000,8089.78,4415.25,0
35000,8608.28,4679.48,0
36000,9155.73,5199.3,0
37000,9447.96,5348.91,0
38000,9903.13,5540.91,0
39000,10334.5,6587.3,0
40000,10915.4,6564.72,0
45000,14100.9,7774.47,0
50000,17409.5,9996.24,0
55000,21232.4,12093.4,0
60000,26736.6,14350.8,0
65000,30590.6,17106.5,0
70000,35141.5,19670,0
75000,41430.6,22943.5,0
80000,45470.3,28451.9,0
85000,54101.3,27654.4,0
90000,59626.7,41363.3,0
95000,92475.8,43791.6,0
