column 1,column 2,column 3
800,3,2
1300,12,7
1800,29,18
2300,58,35
2800,101,61
3300,161,97
3800,240,145
4300,342,207
4800,469,285
5300,625,380
5800,810,493
6300,1034,627
6800,1288,785
7300,1585,969
7800,1919,1175
8300,2299,1407
8800,2724,1670
9300,3200,1964
9800,3730,2288
10000,4282,2626
11000,4947,3036
12000,5740,3524
13000,6670,4095
14000,7747,4757
15000,8995,5518
16000,10413,6394
17000,12018,7368
18000,13799,8459
19000,15786,9678
20000,17995,11028
21000,20456,12535
22000,23135,14160
23000,26081,15945
24000,29256,17915
25000,32706,20040
26000,36434,22308
27000,40449,24769
28000,44740,27422
29000,49381,30281
30000,54342,33354
31000,59613,36609
32000,65228,40046
33000,71197,43704
34000,77536,47589
35000,84247,51699
36000,91345,56048
37000,98850,60639
38000,106782,65493
39000,115116,70602
40000,123920,75975
60000,143666,88155
80000,179114,109977
