column 1,column 2,column 3,column 4
500,1.74679,0.989081,0
1000,7.438,3.94689,0
1500,15.5923,8.92019,0
2000,29.59,17.4921,0
2500,44.0356,25.4055,0
3000,62.6464,36.4405,0
3500,92.5482,51.8913,0
4000,116.449,67.79,0
4500,142.565,86.3831,0
5000,179.524,111.511,0
5500,223.368,147.215,0
6000,282.833,154.586,0
6500,310.489,178.176,0
7000,364.627,213.202,0
7500,412.461,257.98,0
8000,496.368,350.334,0
8500,517.72,315.086,0
9000,563.202,356.374,0
9500,627.132,393.147,0
10000,703.792,441.46,0
11000,840.106,544.081,0
12000,1008.97,651.281,0
13000,1201.27,769.738,0
14000,1491.22,1090.23,0
15000,1816.98,1039.85,0
16000,1776.88,1214.68,0
17000,2006.03,1559.58,0
18000,2307.67,1768.23,0
19000,2737.77,1821.34,0
20000,3044.41,2588.04,0
21000,3594.32,2357.72,0
22000,4015.65,2608.81,0
23000,3873.64,2788.62,0
24000,4086.08,2885.22,0
25000,4449.09,3159.76,0
26000,4983.31,3452.85,0
27000,5204.52,3708.88,0
28000,5497.49,4110.26,0
29000,6066.43,4463.09,0
30000,6421.38,4689.72,0
31000,6854.28,5107.05,0
32000,7364.03,5410.25,0
33000,7811.15,5890.15,0
34000,8085.65,6338.4,0
35000,8574.74,6606.77,0
36000,9350.86,6956.8,0
37000,9725.75,7422.63,0
38000,10340.7,7799.63,0
39000,11134.5,8494.43,0
40000,11261.8,8765.89,0
45000,14598.1,12315.2,0
50000,17881.5,13737.7,0
55000,24933,19041,0
60000,28145,19869.9,0
65000,30696.9,22497.5,0
70000,35157.3,25807.9,0
75000,39897,29159.1,0
80000,45153.5,33063.6,0
85000,50836.1,36703,0
90000,58122.2,41069.3,0
95000,69059.3,45238.9,0
