column 1,column 2,column 3,column 4
500,1.74104,0.735144,0
1000,6.95228,3.00745,0
1500,15.5229,6.92233,0
2000,28.3859,12.1697,0
2500,44.1554,19.0067,0
3000,64.0802,28.3629,0
3500,85.8346,38.0351,0
4000,114.401,50.782,0
4500,141.27,64.9011,0
5000,174.529,90.9868,0
5500,283.19,139.515,0
6000,301.2,121.805,0
6500,303.927,141.999,0
7000,352.685,166.905,0
7500,414.213,191.475,0
8000,465.052,222.169,0
8500,532.645,256.158,0
9000,650.82,300.453,0
9500,688.312,319.535,0
10000,729.667,397.199,0
11000,891.686,442.665,0
12000,1066.62,528.708,0
13000,1260.62,643.159,0
14000,1459.45,742.881,0
15000,1681.04,859.79,0
16000,1961.26,1015.06,0
17000,2328.33,1142.41,0
18000,2450.79,1291.01,0
19000,2766.15,1523.29,0
20000,3135.81,1654.74,0
21000,3389.84,2060.26,0
22000,3848.09,2004.17,0
23000,4090.48,2222.62,0
24000,4627.89,2456.67,0
25000,5077.17,2732.85,0
26000,5304.8,2963.23,0
27000,5764.71,3384.82,0
28000,6215.95,3534.42,0
29000,6895.81,3921.33,0
30000,7219.5,4183.7,0
31000,7932.46,4491.16,0
32000,8304.9,4834.63,0
33000,9020.54,5287.43,0
34000,9666.19,5521.37,0
35000,10035.7,6055.53,0
36000,10644.9,6256.6,0
37000,11495.1,6805.53,0
38000,12058,7063.82,0
39000,12679.4,7512.81,0
40000,13318.2,8120.7,0
45000,18368.5,12016,0
50000,22185.7,12656.3,0
55000,25113.2,14955.6,0
60000,30448.3,17915,0
65000,34963.8,21023.6,0
70000,40208.8,24576,0
75000,45773.6,27781.2,0
80000,51785.1,31082.3,0
85000,58558.7,34696.8,0
90000,64436.6,39605.5,0
95000,75944.4,43035.9,0
