column 1,column 2,column 3,column 4
500,1.96075,0.00950342,0.016726
1000,7.80079,0.0186267,0.0342123
1500,17.527,0.02775,0.0505582
2000,31.1347,0.0372534,0.0680445
2500,48.6252,0.0467568,0.0851507
3000,69.9843,0.0558801,0.102637
3500,95.3277,0.0653836,0.120884
4000,124.376,0.0745068,0.13875
4500,157.457,0.0840103,0.156997
5000,194.264,0.0935137,0.174863
5500,235.044,0.102637,0.19349
6000,279.728,0.11214,0.212497
6500,328.26,0.120884,0.230743
7000,380.713,0.130767,0.25013
7500,437.01,0.13989,0.268377
8000,497.219,0.149014,0.287384
8500,561.431,0.161178,0.306771
9000,629.425,0.168021,0.326157
9500,701.647,0.177144,0.346685
10000,777.094,0.186647,0.365692
11000,940.562,0.204894,0.405226
12000,1119.33,0.223901,0.447041
13000,1313.36,0.242147,0.489236
14000,1535.25,0.261154,0.530291
15000,1748.74,0.279021,0.570586
16000,1989.72,0.298407,0.61164
17000,2246.51,0.317034,0.655736
18000,2519.33,0.335661,0.700212
19000,2807.09,0.354288,0.740127
20000,3110.11,0.371774,0.789164
21000,3429.32,0.39002,0.830219
22000,3762.29,0.410168,0.875835
23000,4112.41,0.428794,0.921072
24000,4477.42,0.447041,0.969349
25000,4858.54,0.464527,1.01535
26000,5255.51,0.483154,1.06248
27000,5667.42,0.502161,1.1081
28000,6094.7,0.520407,1.15638
29000,6536.97,0.539034,1.21986
30000,6996.87,0.559181,1.25141
31000,7470.96,0.579709,1.29969
32000,7960.87,0.596815,1.34683
33000,8465.36,0.615822,1.39814
34000,8986.45,0.633308,1.44566
35000,9524.13,0.650414,1.48976
36000,10082.3,0.669041,1.5464
37000,10643.5,0.687288,1.58897
38000,11225.8,0.706675,1.63649
39000,11825.2,0.724921,1.68287
40000,12437.5,0.746969,1.73685
45000,15743.5,0.842764,1.96835
50000,19434.5,0.932476,2.2105
55000,23518,1.02181,2.43098
60000,27987.5,1.11874,2.67502
65000,32854,1.22822,2.92629
70000,38145,1.30159,3.14905
75000,43727.7,1.40917,3.39424
80000,49759.9,1.4928,3.61966
85000,56165,1.6038,3.87093
90000,63025.3,1.68591,4.09598
95000,70197.6,1.83188,4.3366
