column 1,column 2,column 3,column 4
500,0.00570205,0.00570205,0.00798288
1000,0.0102637,0.0117842,0.0155856
1500,0.0152055,0.0174863,0.0231884
2000,0.0201473,0.0228082,0.0315514
2500,0.0254692,0.0285103,0.0391541
3000,0.030411,0.0342123,0.0475171
3500,0.0353527,0.0402945,0.0555
4000,0.0406747,0.0456164,0.0634829
4500,0.0456164,0.0513185,0.0718459
5000,0.0505582,0.0570205,0.0802089
5500,0.0558801,0.0631027,0.0893322
6000,0.0608219,0.0684246,0.0957945
6500,0.0657637,0.0741267,0.105298
7000,0.0710856,0.0798288,0.112901
7500,0.0760274,0.0855308,0.122404
8000,0.0809692,0.0912329,0.130007
8500,0.0862911,0.0969349,0.13875
9000,0.0912329,0.102637,0.148253
9500,0.0961746,0.108339,0.157757
10000,0.101497,0.114041,0.164979
11000,0.11138,0.125445,0.182846
12000,0.121644,0.137229,0.201473
13000,0.131527,0.148253,0.219339
14000,0.141791,0.159658,0.236065
15000,0.151675,0.170681,0.255832
16000,0.161938,0.182466,0.273318
17000,0.172202,0.19387,0.291565
18000,0.182466,0.205274,0.311712
19000,0.192349,0.216678,0.331099
20000,0.202613,0.229223,0.350106
21000,0.212877,0.239106,0.371774
22000,0.22276,0.25051,0.391161
23000,0.233024,0.261914,0.409788
24000,0.243288,0.273318,0.431455
25000,0.253171,0.284723,0.450842
26000,0.263055,0.296507,0.47175
27000,0.273318,0.307531,0.492277
28000,0.284723,0.318935,0.510524
29000,0.293846,0.330339,0.532952
30000,0.303729,0.342123,0.55576
31000,0.313993,0.352767,0.575147
32000,0.324257,0.364551,0.596815
33000,0.334521,0.375955,0.618103
34000,0.344024,0.38736,0.640911
35000,0.354288,0.398764,0.664859
36000,0.364551,0.410168,0.686147
37000,0.374815,0.422712,0.708195
38000,0.385079,0.434116,0.727582
39000,0.395342,0.445901,0.75077
40000,0.405226,0.457305,0.774719
45000,0.455784,0.514325,0.88914
50000,0.506723,0.571346,1.0066
55000,0.558041,0.635209,1.12178
60000,0.607459,0.685767,1.23506
65000,0.658017,0.742788,1.34568
70000,0.708955,0.799808,1.4506
75000,0.759514,0.856829,1.56236
80000,0.810072,0.914229,1.6669
85000,0.86101,0.97125,1.76726
90000,0.911568,1.02561,1.86685
95000,0.961746,1.08225,1.97785
